  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           149500.2        1342.0        1172.0        1167.1         974.6
  1           108447.4        1626.8        1592.5        1589.8        1591.4
  2           107316.0        1591.8        1560.7        1558.3        1556.9
  3           101153.4        1593.0        1562.7        1560.2        1559.3
  4           104283.3        1567.4        1537.3        1534.7        1533.5
  5           103223.8        1571.7        1542.7        1540.0        1539.1
  6           104229.4        1612.7        1579.5        1577.5        1576.9
  7           104017.3        1770.4        1740.9        1738.3        1737.8
  8           102375.1        1860.5        1828.5        1827.0        1825.8
  9           103357.6        1518.8        1488.9        1487.6        1485.8
  10          100814.7        1621.1        1592.0        1590.0        1588.1
  11          103488.7        1606.2        1576.3        1574.3        1574.6
  12          104638.8        1561.8        1532.3        1530.1        1529.3
  13          106458.5        1515.7        1484.8        1482.7        1483.5
  14          104626.1        1588.8        1558.1        1556.0        1556.2
  15          103020.5        1581.3        1550.7        1548.6        1548.7
  16          104575.8        1601.0        1570.7        1568.7        1567.3
  17          101697.7        1582.6        1550.1        1547.9        1548.4
  18          103292.3        1869.4        1835.5        1833.0        1833.7
  19          102674.9        1557.2        1527.8        1525.9        1526.1
  20          103936.5        1599.9        1568.0        1566.0        1563.2
  21          105045.7        1567.7        1537.1        1534.9        1535.4
  22          104836.4        1569.9        1540.2        1538.4        1537.3
  23          103277.8        1610.2        1580.6        1578.1        1578.0
  24          104206.0        1650.3        1617.1        1615.9        1614.7
  25          104796.0        1577.9        1548.1        1545.7        1544.9
  26          104102.1        1607.6        1576.8        1574.8        1573.5
  27          105496.0        1768.6        1738.2        1736.2        1735.2
  28          104987.9        1756.9        1724.9        1722.9        1722.0
  29          103518.1        1588.4        1555.2        1553.1        1553.9
  30          103861.6        1781.1        1750.3        1748.3        1746.2
  31          107142.7        1603.5        1572.7        1570.6        1571.3
  32          104157.9        1600.0        1569.1        1566.5        1566.4
  33          104054.5        1601.5        1571.6        1569.7        1567.8
  34          101638.2        1591.4        1561.1        1558.9        1558.6
  35          105747.0        1853.3        1820.4        1818.7        1817.8
  36          104947.0        1687.6        1657.3        1655.5        1655.3
  37          103984.0        1703.9        1671.6        1669.6        1668.9
  38          103874.5        1598.0        1564.3        1561.1        1562.1
  39          103896.2        1597.1        1564.6        1561.8        1563.3
  40          104476.7        1847.9        1817.7        1815.2        1814.1
  41          105737.3        1594.1        1563.8        1562.1        1560.7
  42          105638.8        1604.6        1575.6        1573.2        1571.6
  43          107235.5        1614.7        1581.9        1579.9        1578.4
  44          107239.4        1570.4        1541.5        1539.3        1538.8
  45          104900.2        1594.8        1563.9        1562.8        1560.8
  46          106003.5        1705.8        1675.7        1673.1        1672.0
  47          103649.9        1771.5        1739.4        1737.4        1736.4
  48          106615.3        1596.9        1568.1        1566.3        1565.1
  49          106322.7        1590.6        1561.5        1559.6        1560.0
  50          108032.5        1543.9        1514.1        1512.1        1511.4
  51          108294.0        1573.6        1540.6        1538.6        1538.6
  52          105924.2        1611.6        1584.2        1582.1        1580.5
  53          106544.9        1575.7        1542.3        1540.2        1540.5
  54          104436.2        1599.5        1569.6        1568.4        1566.4
  55          104630.7        1569.6        1536.7        1534.7        1533.7
  56          103267.1        1562.2        1532.4        1530.2        1529.5
  57          103718.4        1575.7        1544.4        1542.4        1540.5
  58          107502.0        1542.9        1511.9        1509.8        1507.6
  59          105224.1        1599.0        1567.9        1565.4        1564.2
  60          105514.0        1526.3        1496.1        1494.0        1493.3
  61          106223.4        1588.5        1556.2        1552.9        1553.2
  62          106615.8        1677.8        1646.2        1642.1        1643.0
  63          106959.1        1627.6        1596.7        1594.6        1594.8
  64          113348.1        1604.6        1571.3        1569.0        1568.1
  65          109087.4        1802.1        1772.3        1769.9        1768.7
  66          106571.3        1808.1        1778.9        1776.8        1774.4
  67          104925.2        1602.2        1571.1        1568.6        1566.7
  68          103003.2        1570.5        1541.2        1538.8        1537.6
  69          103796.1        1566.5        1537.6        1535.5        1533.8
  70          104768.6        1620.2        1588.6        1586.7        1584.9
  71          105092.2        1561.9        1533.5        1531.6        1528.6
  72          106763.3        1513.6        1482.3        1479.9        1479.9
  73          107055.4        1611.4        1581.7        1579.5        1579.1
  74          105110.0        1572.0        1539.0        1536.9        1536.2
  75          104452.4        1579.1        1547.2        1544.5        1543.8
  76          103614.8        1523.7        1495.1        1492.7        1491.0
  77          103660.8        1567.1        1537.7        1534.9        1534.8
  78          105026.3        1819.3        1789.9        1787.9        1786.9
  79          104880.1        1590.8        1558.9        1556.7        1555.7
  80          106794.4        1583.1        1552.5        1550.4        1550.3
  81          105302.3        1598.7        1568.8        1565.4        1566.0
  82          104839.0        1555.3        1526.4        1524.2        1523.6
  83          105168.2        1575.2        1544.2        1542.2        1542.7
  84          104658.9        1591.7        1561.8        1559.5        1557.6
  85          103450.3        1569.4        1538.5        1536.1        1535.3
  86          103362.5        1593.5        1566.4        1564.4        1562.7
  87          105322.1        1593.1        1563.2        1560.0        1560.5
  88          106207.1        1571.6        1539.8        1537.6        1536.2
  89          105328.4        1561.8        1531.1        1527.4        1527.5
  90          105615.8        1559.4        1527.7        1525.1        1524.7
  91          103551.7        1587.6        1558.3        1556.1        1554.7
  92          105328.3        1601.8        1573.4        1570.7        1570.7
  93          108141.8        1860.5        1830.1        1828.0        1827.8
  94          109236.3        1616.0        1585.5        1583.1        1582.2
  95          111608.6        1555.8        1526.5        1523.2        1523.3
  96          111242.1        1553.8        1525.3        1522.4        1521.6
  97          107653.3        1604.2        1573.6        1571.1        1569.5
  98          106989.8        1584.8        1553.1        1550.8        1548.2
  99          105135.2        1567.4        1536.8        1534.7        1532.2
  Avg Host: 105674.9 us  |  Avg Device: 1615.2 us [100/100]  |  Avg Effective: 1583.1 us  |  Avg Orch: 1580.8 us  |  Avg Sched: 1578.2 us  (100 rounds)
  Trimmed Avg Host: 105096.1 us  |  Trimmed Avg Device: 1601.4 us  (dropped 10 low + 10 high, 80 rounds used)
