  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           234224.7        6973.6        6811.4        5712.4        6584.3
  1           193878.5        7029.4        6994.1        6036.7        6993.3
  2           184756.6        7088.5        7054.6        6036.8        7053.6
  3           162634.9        7067.1        7032.4        6012.5        7031.0
  4           153630.2        7084.5        7052.1        6028.9        7050.4
  5           152511.1        7140.0        7107.1        6079.2        7105.2
  6           166949.8        7055.1        7022.5        6019.6        7020.0
  7           161821.4        7013.1        6983.9        5902.7        6980.9
  8           152819.1        7088.6        7056.5        6009.9        7053.1
  9           160270.4        7219.3        7186.8        6160.1        7183.7
  10          146621.0        7074.7        7041.6        5992.3        7037.9
  11          146066.2        7085.2        7053.2        6045.3        7051.1
  12          171923.9        7082.8        7049.6        6008.3        7047.6
  13          146611.4        7076.9        7044.0        5989.7        7042.4
  14          149976.4        7071.0        7038.5        6042.2        7034.5
  15          164173.3        7062.4        7031.1        6060.0        7028.1
  16          150086.9        7136.9        7107.1        6075.5        7104.5
  17          151595.4        7164.8        7133.1        6097.6        7130.1
  18          161081.4        7070.3        7040.3        6069.2        7038.3
  19          145076.9        6940.9        6908.0        5829.6        6906.7
  20          149109.1        7025.6        6993.4        5950.0        6991.6
  21          189901.7        7112.0        7080.6        5957.6        7077.4
  22          146665.4        7056.2        7023.7        6024.7        7020.5
  23          173209.0        7024.2        6990.0        6037.2        6989.1
  24          148364.6        7103.5        7070.9        6022.4        7068.8
  25          148667.7        6956.6        6924.1        5956.8        6922.8
  26          164148.7        7143.4        7108.9        6113.5        7107.5
  27          164206.2        7013.3        6981.3        6024.5        6979.1
  28          140773.5        7104.6        7072.6        6012.7        7067.9
  29          175573.8        7010.8        6978.0        5967.9        6976.2
  30          165840.1        7082.2        7050.2        6015.5        7046.9
  31          183797.2        7116.6        7084.3        6065.1        7082.6
  32          167195.0        7198.8        7166.1        6173.6        7163.1
  33          160189.9        7000.1        6968.9        6053.6        6965.5
  34          157690.8        7093.3        7063.4        5972.8        7060.7
  35          157841.3        7124.5        7092.4        6076.6        7090.6
  36          162879.4        6970.5        6937.8        5964.8        6935.7
  37          173648.8        7001.3        6968.6        5993.4        6966.9
  38          154753.5        7161.0        7127.4        6123.7        7126.0
  39          171972.9        7240.1        7207.6        6162.7        7205.8
  40          181601.2        7132.5        7101.1        6061.4        7098.9
  41          215794.3        7140.7        7107.3        6080.0        7105.2
  42          163205.9        6977.2        6944.6        6019.3        6943.1
  43          158840.4        7054.6        7024.5        6021.5        7022.2
  44          186542.8        7018.6        6986.6        5966.3        6982.5
  45          161210.0        7018.3        6986.3        5912.9        6984.4
  46          185414.1        7005.4        6972.1        5949.0        6969.6
  47          191136.6        7088.3        7056.4        6031.4        7051.2
  48          191493.5        6965.8        6933.5        5965.4        6930.7
  49          156450.6        7063.0        7032.5        6066.1        7029.9
  50          157537.8        7135.3        7103.6        6108.5        7102.2
  51          181293.3        7112.6        7080.7        6107.3        7076.3
  52          158031.8        7143.3        7113.5        6048.3        7110.7
  53          158956.8        7138.5        7107.5        6107.2        7104.2
  54          156769.1        7061.2        7032.0        5963.6        7028.3
  55          170883.3        7053.8        7023.7        5967.0        7022.1
  56          170121.3        7095.4        7063.0        6044.9        7061.0
  57          167500.7        7135.4        7103.3        6097.6        7101.8
  58          156327.7        7085.5        7052.8        6066.7        7050.9
  59          185862.9        7137.8        7105.4        6077.0        7103.4
  60          159114.7        7046.3        7013.7        6005.7        7011.6
  61          180135.1        7059.1        7027.0        6007.2        7025.6
  62          159145.4        7099.1        7066.9        6049.2        7065.7
  63          191219.7        7058.1        7027.0        5928.6        7024.0
  64          179779.7        7160.1        7128.1        6059.5        7126.2
  65          181352.4        7214.4        7184.8        6123.2        7182.5
  66          189317.4        6999.9        6967.4        5971.3        6965.9
  67          157288.0        7068.4        7037.4        5981.4        7033.2
  68          159060.6        6970.9        6941.8        5889.7        6938.9
  69          176253.1        7075.0        7043.4        6030.0        7040.5
  70          158416.2        7152.5        7121.6        6000.3        7118.5
  71          157670.6        7016.3        6984.3        5980.1        6980.2
  72          187588.1        6969.0        6937.9        5949.9        6936.2
  73          152643.5        7087.8        7056.6        5999.5        7054.7
  74          183724.6        7051.3        7019.6        6026.6        7018.2
  75          156205.1        6977.7        6944.1        5927.5        6942.2
  76          153382.2        7071.2        7040.0        5993.2        7037.6
  77          160226.3        6972.4        6940.8        5931.6        6938.8
  78          178698.4        7021.1        6989.1        5995.7        6987.4
  79          184388.7        6988.1        6955.8        6008.4        6953.0
  80          158409.5        7086.1        7054.7        6006.4        7053.2
  81          190081.0        6897.8        6866.9        5929.1        6864.0
  82          156155.1        7075.4        7044.3        6113.6        7041.7
  83          190835.0        7011.2        6978.9        6000.7        6977.4
  84          182022.4        7050.0        7016.5        6049.7        7014.9
  85          159123.0        7313.2        7282.8        6217.1        7278.8
  86          190254.5        7105.8        7073.2        6034.0        7070.8
  87          157698.5        7163.5        7130.6        6115.2        7128.9
  88          160348.4        7090.9        7059.1        6027.9        7057.1
  89          157819.2        7134.2        7103.5        6101.1        7100.0
  90          160310.5        6964.1        6932.3        6033.1        6928.7
  91          159382.9        7003.5        6971.9        5919.3        6968.5
  92          178879.4        7027.0        6995.4        5989.6        6994.0
  93          173473.2        6949.7        6918.6        5887.8        6916.8
  94          220432.3        6967.4        6933.9        5914.0        6931.5
  95          182914.7        6975.4        6941.8        5945.0        6940.5
  96          186194.6        7051.0        7017.9        6047.5        7016.3
  97          191691.8        7006.9        6974.2        5978.6        6972.1
  98          192776.0        7088.6        7057.1        5991.0        7055.0
  99          182244.8        6998.4        6965.7        5919.0        6964.2
  Avg Host: 169047.7 us  |  Avg Device: 7066.5 us [100/100]  |  Avg Effective: 7033.2 us  |  Avg Orch: 6016.2 us  |  Avg Sched: 7028.6 us  (100 rounds)
  Trimmed Avg Host: 167791.9 us  |  Trimmed Avg Device: 7063.8 us  (dropped 10 low + 10 high, 80 rounds used)
