  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           212687.7        1882.7        1693.3        1287.0        1486.6
  1           171098.7        1752.3        1719.5        1390.0        1718.5
  2           165008.5        1708.5        1682.1        1451.7        1680.4
  3           162905.0        1715.4        1689.3        1405.7        1687.1
  4           137864.8        1714.0        1682.9        1386.2        1682.0
  5           149518.0        1736.0        1709.0        1413.7        1706.2
  6           161276.8        1740.0        1713.4        1384.7        1710.2
  7           153033.6        1693.1        1666.4        1394.0        1663.9
  8           168479.4        1682.7        1656.1        1414.4        1653.9
  9           167086.2        1662.4        1635.7        1399.6        1632.1
  10          195317.0        1683.1        1656.3        1396.9        1652.8
  11          143528.4        1733.9        1708.4        1405.9        1705.5
  12          154044.2        1756.6        1728.9        1421.1        1726.8
  13          134895.3        1648.2        1622.0        1439.6        1619.8
  14          163611.2        1728.6        1699.3        1410.1        1696.5
  15          145919.0        1663.4        1634.1        1405.0        1631.3
  16          143531.3        1789.1        1762.6        1374.3        1760.2
  17          133284.4        1774.9        1746.4        1384.1        1742.7
  18          134859.8        1726.4        1698.0        1429.4        1697.1
  19          148819.7        1838.9        1809.0        1376.6        1808.0
  20          150203.8        1812.9        1785.7        1419.7        1782.5
  21          139072.9        1705.7        1678.5        1401.4        1676.3
  22          149072.9        1683.8        1658.6        1424.8        1654.5
  23          150113.5        1757.2        1726.5        1405.4        1723.7
  24          159162.8        1756.4        1728.1        1383.0        1725.3
  25          134558.0        1833.6        1804.0        1383.8        1800.7
  26          133418.7        1780.3        1747.9        1367.6        1745.8
  27          134146.4        1812.8        1784.1        1387.2        1780.1
  28          132608.1        1660.2        1629.8        1401.0        1626.7
  29          140956.4        1798.0        1771.7        1375.5        1769.3
  30          135516.1        1716.1        1688.7        1426.2        1687.2
  31          159970.6        1784.5        1755.0        1365.6        1752.6
  32          158730.3        1721.7        1694.3        1414.7        1691.7
  33          135448.6        1740.7        1714.7        1378.0        1713.5
  34          134434.8        1732.4        1705.7        1428.8        1703.6
  35          132112.6        1707.1        1676.8        1402.0        1675.3
  36          137167.3        1766.5        1738.8        1417.2        1735.8
  37          145703.3        1782.6        1753.8        1393.8        1750.9
  38          153731.2        1764.2        1733.5        1401.6        1730.7
  39          135216.8        1740.3        1710.1        1379.3        1706.8
  40          141626.1        1717.3        1686.2        1391.7        1683.4
  41          133242.1        1721.7        1695.2        1372.5        1692.8
  42          135787.4        1686.3        1654.9        1398.9        1652.2
  43          159155.8        1762.7        1731.3        1396.0        1728.7
  44          162815.3        1899.0        1870.8        1377.7        1868.0
  45          135942.8        1773.7        1744.5        1360.4        1742.3
  46          137015.5        1773.5        1745.1        1382.9        1741.4
  47          136910.1        1699.8        1671.1        1421.5        1668.1
  48          144458.5        1653.0        1628.3        1409.9        1625.5
  49          155605.6        1665.2        1634.8        1400.4        1632.5
  50          135565.9        1686.5        1657.7        1416.2        1654.3
  51          161535.7        1828.5        1798.5        1369.5        1796.0
  52          135068.5        1657.5        1624.6        1388.8        1620.5
  53          135173.3        1739.4        1712.8        1373.2        1709.4
  54          139872.7        1784.4        1753.2        1337.9        1749.5
  55          161032.6        1827.3        1796.6        1389.0        1794.9
  56          152024.2        1776.8        1737.6        1380.4        1736.3
  57          141387.6        1686.7        1658.0        1369.2        1655.6
  58          154801.2        1688.1        1664.1        1404.6        1661.5
  59          158252.3        1686.3        1655.1        1399.8        1652.5
  60          135659.6        1682.6        1656.2        1416.9        1654.2
  61          136275.3        1735.7        1707.4        1384.7        1705.7
  62          136945.1        1687.5        1657.9        1433.2        1654.7
  63          133085.2        1747.7        1719.9        1379.4        1717.7
  64          134884.1        1781.6        1752.8        1388.5        1749.8
  65          153581.8        1687.6        1661.5        1381.4        1660.1
  66          161313.1        1706.4        1681.3        1417.2        1677.1
  67          145280.6        1696.0        1665.7        1397.0        1660.6
  68          157412.3        1690.9        1660.7        1432.9        1658.5
  69          138349.0        1688.4        1659.0        1415.2        1656.8
  70          133008.4        1687.8        1661.8        1433.7        1660.1
  71          133383.7        1800.7        1767.7        1417.8        1763.7
  72          133889.9        1703.0        1671.8        1423.4        1669.0
  73          143752.2        1751.9        1722.3        1434.6        1719.6
  74          150478.7        1732.1        1704.6        1406.1        1702.4
  75          132720.5        1797.7        1773.4        1402.4        1770.2
  76          136011.5        1664.2        1635.4        1414.3        1632.0
  77          136904.1        1713.6        1688.9        1405.0        1685.7
  78          132876.1        1715.8        1690.1        1409.2        1688.7
  79          134735.8        1750.9        1720.8        1416.2        1718.3
  80          160082.0        1852.4        1822.5        1379.8        1819.7
  81          169405.6        1694.2        1665.1        1396.0        1662.4
  82          149502.2        1672.8        1645.9        1409.9        1643.8
  83          158591.8        1768.4        1742.1        1414.8        1738.8
  84          136804.1        1724.6        1700.0        1408.7        1697.1
  85          142056.3        1724.4        1695.2        1433.7        1693.2
  86          157924.8        1729.6        1699.4        1405.0        1697.1
  87          159865.9        1657.4        1629.8        1417.6        1626.5
  88          156175.6        1660.2        1631.3        1405.1        1629.2
  89          163744.0        1768.6        1738.4        1403.9        1736.0
  90          159933.4        1691.8        1663.7        1426.6        1659.4
  91          160353.6        1756.2        1724.9        1404.4        1720.8
  92          158268.9        1694.6        1665.2        1429.4        1663.3
  93          162987.0        1774.4        1746.7        1426.6        1743.4
  94          158642.2        1789.6        1763.6        1392.0        1761.0
  95          156908.4        1708.4        1680.7        1377.5        1678.4
  96          156353.0        1739.8        1712.2        1384.1        1709.6
  97          136407.7        1705.5        1675.4        1481.0        1672.2
  98          139909.5        1729.1        1698.8        1403.0        1695.9
  99          175717.1        1838.5        1808.6        1415.4        1806.3
  Avg Host: 148355.7 us  |  Avg Device: 1735.0 us [100/100]  |  Avg Effective: 1704.9 us  |  Avg Orch: 1400.9 us  |  Avg Sched: 1700.2 us  (100 rounds)
  Trimmed Avg Host: 146920.9 us  |  Trimmed Avg Device: 1731.1 us  (dropped 10 low + 10 high, 80 rounds used)
