  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           241528.3        2060.3        1871.1        1161.5        1660.7
  1           155224.0        1661.3        1629.4        1299.0        1628.7
  2           170668.6        1699.0        1672.5        1297.6        1668.0
  3           171413.0        1735.3        1708.4        1299.0        1706.1
  4           177932.9        1720.4        1691.3        1310.0        1687.4
  5           183950.7        1660.3        1633.1        1263.7        1630.7
  6           176982.6        1851.8        1821.3        1290.7        1815.4
  7           189032.8        1669.7        1638.1        1268.4        1635.3
  8           165212.5        1833.0        1802.9        1260.6        1800.4
  9           177456.5        1714.7        1687.0        1269.3        1684.2
  10          176077.6        1716.9        1687.9        1288.2        1683.5
  11          175510.4        1801.5        1771.4        1269.3        1769.0
  12          168144.0        1778.0        1747.6        1286.5        1743.5
  13          174188.8        1747.1        1721.0        1304.8        1716.7
  14          178351.6        1691.5        1661.2        1280.7        1658.6
  15          177804.8        1734.3        1704.6        1285.4        1701.5
  16          174940.0        1681.9        1651.3        1270.5        1647.9
  17          189047.2        1668.6        1640.1        1299.0        1636.5
  18          153145.0        1808.7        1781.0        1304.4        1776.7
  19          179569.6        1733.6        1707.0        1312.1        1704.1
  20          194495.0        1712.6        1688.7        1295.9        1683.8
  21          179274.9        1805.5        1778.5        1293.5        1773.9
  22          177912.3        1705.0        1680.2        1282.1        1675.3
  23          182193.8        1679.6        1651.3        1276.7        1647.1
  24          190773.7        1678.4        1650.9        1309.3        1646.9
  25          164625.1        1664.1        1637.0        1289.8        1633.9
  26          176076.1        1672.0        1644.2        1287.6        1639.0
  27          208064.3        1639.2        1610.1        1322.7        1606.6
  28          181942.7        1689.9        1662.6        1288.9        1660.0
  29          169383.7        1741.1        1715.7        1325.7        1711.9
  30          196057.6        1870.6        1841.8        1274.1        1836.1
  31          183401.0        1760.1        1731.8        1301.6        1728.1
  32          165816.5        1896.6        1865.3        1266.0        1862.1
  33          164602.7        1706.1        1676.0        1323.3        1674.1
  34          166796.7        1655.7        1625.7        1275.5        1622.5
