  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           150580.1        1344.9        1171.4        1165.8         961.9
  1           102980.7        1619.1        1583.8        1580.9        1583.0
  2            96331.1        1606.3        1575.4        1573.5        1572.9
  3            94568.9        1563.8        1533.1        1530.6        1530.9
  4           102383.5        1620.1        1578.0        1576.4        1575.6
  5           101209.9        1602.3        1571.7        1568.7        1568.4
  6           100985.0        1472.3        1442.1        1439.5        1439.6
  7            99057.1        1548.1        1518.7        1517.2        1516.0
  8           101238.7        1565.1        1536.1        1532.9        1534.0
  9           100929.6        1606.6        1575.7        1572.6        1574.5
  10           99490.6        1566.8        1538.0        1535.9        1536.1
  11          100814.5        1568.2        1539.7        1537.2        1536.6
  12          101019.3        1714.2        1683.8        1681.8        1682.3
  13           99615.5        1570.2        1539.0        1535.5        1537.2
  14          101893.3        1543.6        1512.9        1511.8        1511.1
  15          100188.4        1586.1        1556.4        1554.2        1555.0
  16          102176.6        1600.6        1569.9        1567.1        1566.9
  17          101003.2        1581.9        1552.7        1550.9        1551.1
  18          101341.8        1494.1        1464.1        1461.3        1461.7
  19          103619.9        1540.9        1511.7        1509.9        1510.5
  20          102017.0        1540.0        1509.5        1507.3        1507.0
  21          104638.2        1562.5        1531.1        1529.7        1526.7
  22          102133.0        1546.8        1516.5        1515.0        1515.2
  23          102015.2        1549.5        1517.2        1514.6        1515.5
  24          104048.8        1599.7        1568.2        1565.8        1566.2
  25          101738.6        1551.6        1521.7        1520.3        1519.4
  26           98443.9        1593.9        1565.7        1563.0        1563.6
  27           99027.7        1572.4        1542.5        1540.3        1540.3
  28          104540.3        1589.0        1559.0        1556.7        1556.4
  29          106038.6        1759.9        1729.2        1727.7        1727.5
  30          105070.3        1529.6        1499.2        1497.6        1498.0
  31          121945.7        1561.9        1531.3        1529.2        1528.8
  32          106154.8        1570.6        1539.3        1537.0        1537.4
  33          105666.1        1544.8        1515.1        1512.7        1513.6
  34          104801.0        1816.3        1786.4        1785.2        1785.0
  35          105085.9        1570.6        1541.4        1539.2        1539.4
  36          114710.9        1562.9        1531.7        1530.3        1529.7
  37          103615.8        1835.5        1806.2        1803.2        1804.8
  38          102305.3        1507.4        1477.4        1475.1        1475.2
  39          105699.9        1597.6        1567.8        1566.3        1566.2
  40          105602.4        1525.6        1495.2        1493.5        1492.9
  41          110081.1        1560.7        1530.2        1528.0        1527.7
  42          110122.2        1782.5        1752.1        1750.1        1750.5
  43          110923.4        1586.1        1557.1        1554.4        1555.7
  44          107361.4        1538.8        1508.7        1507.0        1507.6
  45          101417.6        1573.1        1543.7        1540.6        1541.6
  46          104830.0        1566.3        1536.7        1534.1        1535.3
  47          105675.8        1555.8        1527.8        1525.3        1524.1
  48          103796.6        1555.3        1526.0        1523.6        1524.7
  49           99347.6        1558.2        1527.6        1525.0        1526.1
  50           99460.1        1576.0        1547.6        1545.2        1545.2
  51          103945.9        1595.0        1562.5        1561.3        1560.1
  52          102114.3        1567.9        1537.9        1536.1        1536.7
  53          106350.6        1574.4        1543.1        1541.0        1540.5
  54          100609.4        1597.4        1569.0        1565.4        1567.0
  55          107868.8        1551.0        1520.4        1518.0        1518.3
  56          105871.6        1556.1        1523.4        1521.0        1520.6
  57          102847.0        1539.0        1510.4        1507.5        1508.1
  58          108084.9        1532.7        1503.2        1500.4        1500.0
  59          106986.0        1559.8        1531.5        1528.2        1528.5
  60          104412.8        1782.8        1753.5        1751.2        1751.7
  61          104127.4        1595.6        1565.9        1563.7        1563.7
  62          104899.5        1573.4        1536.1        1533.8        1533.2
  63          106796.4        1598.2        1565.8        1564.0        1565.0
  64          104627.5        1558.7        1527.6        1525.3        1525.9
  65          110112.1        1578.5        1549.3        1547.1        1548.0
  66          112184.7        1554.3        1522.1        1519.7        1520.8
  67          102431.7        1580.8        1548.2        1546.6        1546.8
  68          106201.2        1577.7        1547.9        1545.5        1545.5
  69          103264.3        1554.0        1524.2        1521.8        1522.2
  70          104505.9        1589.0        1559.0        1555.9        1556.6
  71          107373.2        1563.5        1526.7        1524.4        1526.1
  72          104211.3        1604.0        1574.3        1572.3        1572.3
  73          104517.5        1557.8        1529.1        1526.0        1526.8
  74          106475.4        1804.9        1773.2        1770.8        1771.0
  75          104360.5        1572.7        1540.8        1538.7        1538.5
  76          105788.3        1727.6        1697.0        1694.4        1694.9
  77          103798.4        1582.8        1552.2        1550.6        1550.3
  78          103621.6        1551.4        1520.9        1518.8        1518.3
  79          117873.6        1593.8        1562.3        1560.0        1559.9
  80          112397.4        1541.1        1509.7        1507.1        1506.1
  81          100578.0        1572.9        1541.3        1538.4        1538.9
  82          100150.7        1747.4        1715.3        1714.0        1711.9
  83          100760.0        1522.1        1493.4        1490.3        1492.6
  84           96227.5        1586.8        1558.0        1556.1        1555.8
  85           94787.5        1720.5        1686.7        1685.6        1683.9
  86           96048.8        1606.0        1574.1        1572.0        1572.7
  87           95471.5        1683.6        1651.9        1648.7        1649.0
  88           95718.2        1562.0        1531.3        1530.1        1528.8
  89           93210.4        1575.8        1546.8        1545.3        1545.1
  90           95138.2        1579.1        1548.1        1546.4        1545.1
  91           95955.8        1564.7        1535.1        1532.9        1533.8
  92           94757.5        1589.5        1558.3        1556.3        1556.2
  93           95283.2        1560.7        1528.6        1527.2        1527.6
  94           94681.8        1587.4        1558.4        1555.8        1555.7
  95           95726.7        1741.6        1709.8        1708.4        1706.6
  96           94321.6        1606.3        1574.7        1572.6        1573.9
  97           93965.2        1727.3        1695.2        1693.8        1693.5
  98           96639.0        1584.6        1556.2        1553.6        1552.1
  99           95925.8        1550.1        1520.0        1517.4        1516.9
  Avg Host: 103237.5 us  |  Avg Device: 1590.4 us [100/100]  |  Avg Effective: 1558.3 us  |  Avg Orch: 1556.1 us  |  Avg Sched: 1554.2 us  (100 rounds)
  Trimmed Avg Host: 102582.9 us  |  Trimmed Avg Device: 1578.9 us  (dropped 10 low + 10 high, 80 rounds used)
