  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           172993.3        7190.3        6980.4        5166.4        6781.1
  1           131070.4        7386.7        7351.4        5745.7        7350.4
  2           127742.9        7483.6        7450.0        5953.5        7448.8
  3           127917.4        7234.7        7204.7        5611.0        7200.0
  4           128138.4        7150.1        7117.4        5660.5        7114.4
  5           146685.6        7446.0        7414.7        5981.4        7411.1
  6           146477.4        7259.8        7226.2        5771.3        7224.6
  7           136247.2        7212.0        7179.8        5725.1        7177.6
  8           129474.8        7383.3        7351.9        5735.1        7348.9
  9           136943.4        7206.7        7174.8        5765.8        7170.8
  10          126694.8        7515.3        7484.0        5627.7        7479.6
  11          127795.4        7240.1        7210.7        5903.9        7207.8
  12          129256.3        7424.8        7390.9        5657.2        7389.3
  13          134090.4        7288.5        7258.0        5735.2        7256.5
  14          135877.9        7470.3        7437.0        5805.6        7434.6
  15          129447.2        7309.4        7277.0        5830.8        7275.8
  16          127249.3        7172.7        7140.4        5691.8        7137.8
  17          134186.7        7144.1        7114.3        5613.7        7112.1
  18          132305.1        7241.5        7208.3        5831.0        7205.5
  19          130713.8        7173.4        7142.8        5879.9        7139.0
  20          141195.2        7338.5        7310.0        5793.7        7306.1
  21          130286.7        7261.6        7233.2        5727.1        7231.7
  22          129702.3        7302.5        7270.0        5674.9        7266.3
  23          129488.5        7314.4        7285.9        5782.1        7282.5
  24          129381.8        7365.4        7332.3        5811.2        7328.8
  25          126479.7        7233.6        7201.0        5848.5        7198.0
  26          129893.7        7455.6        7425.5        5743.6        7423.8
  27          135741.6        7345.5        7311.4        5556.7        7307.7
  28          135648.8        7437.8        7405.5        5690.9        7402.1
  29          129016.9        7477.8        7444.7        5687.3        7442.9
  30          129257.9        7096.4        7066.3        5735.8        7062.0
  31          127106.4        7313.9        7283.0        5736.0        7278.6
  32          132345.6        7294.7        7266.4        5941.9        7261.3
  33          127670.3        7328.8        7293.8        5609.0        7291.9
  34          128910.0        7215.6        7182.9        5700.6        7180.3
  35          137578.8        7186.0        7151.9        5738.1        7147.5
  36          137265.1        7317.0        7283.4        5564.9        7280.2
  37          137635.4        7202.0        7171.0        5716.0        7168.2
  38          130930.7        7324.2        7291.8        5647.0        7289.3
  39          132105.1        7154.7        7123.5        5753.2        7119.3
  40          127057.4        7273.6        7244.1        5881.2        7240.7
  41          128681.2        7409.1        7380.1        5641.9        7375.7
  42          128813.2        7282.7        7252.3        5807.0        7248.9
  43          128535.3        7116.3        7088.8        5628.9        7085.5
  44          125690.2        7176.2        7146.6        5650.3        7142.9
  45          127443.3        7248.8        7219.4        5599.6        7215.0
  46          125852.1        7340.3        7307.7        5597.0        7304.2
  47          127464.1        7148.4        7117.7        5782.2        7114.1
  48          130386.3        7351.9        7321.9        5745.9        7319.2
  49          131876.2        7251.5        7218.8        5773.9        7214.8
  50          129437.9        7304.3        7272.3        5794.9        7268.2
  51          140889.2        7103.4        7069.5        5866.5        7067.2
  52          142258.9        7240.3        7207.1        5640.2        7205.0
  53          141272.6        7173.2        7144.3        5784.7        7139.9
  54          141942.9        7311.5        7278.5        5644.0        7276.2
  55          132551.0        7385.6        7352.1        5797.4        7348.4
  56          134425.2        7489.0        7459.6        5930.6        7456.8
  57          135486.9        7301.6        7268.1        5741.2        7263.8
  58          141289.5        7170.4        7141.0        5856.8        7137.8
  59          137065.6        7424.7        7394.5        6111.9        7390.7
  60          133285.5        7239.1        7210.8        5844.0        7206.9
  61          131138.3        7376.1        7343.3        5914.6        7340.8
  62          133446.5        7228.5        7195.1        5831.9        7192.6
  63          132546.6        7413.3        7383.9        5875.8        7381.3
  64          137733.5        7299.8        7269.1        5864.2        7265.7
  65          133482.7        7197.5        7166.9        5894.5        7165.0
  66          137066.2        7041.5        7007.8        5716.1        7004.5
  67          132582.0        7484.6        7451.5        5721.4        7448.4
  68          131182.3        7305.7        7271.8        5700.6        7268.6
  69          138340.0        7457.2        7422.9        5876.3        7420.7
  70          137548.0        7231.7        7200.5        5685.3        7197.3
  71          138185.6        7214.6        7181.0        5462.1        7179.2
  72          135007.4        7381.9        7348.4        5974.3        7344.4
  73          134482.3        7235.5        7200.4        5836.3        7197.1
  74          156348.4        7387.8        7354.6        5731.3        7352.4
  75          143000.2        7442.4        7414.4        5875.1        7409.7
  76          137172.7        7271.3        7240.4        6088.2        7235.8
  77          143983.2        7295.5        7262.2        5658.9        7259.1
  78          145014.5        7223.1        7191.5        5905.4        7187.6
  79          138344.6        7280.5        7249.5        5783.1        7246.8
  80          139509.7        7269.6        7236.1        5785.4        7232.4
  81          148476.8        7239.1        7205.9        5523.1        7202.0
  82          144634.7        7395.9        7362.8        5852.3        7360.4
  83          135181.9        7148.7        7118.8        5553.6        7116.7
  84          143160.2        7235.1        7201.5        5919.9        7198.4
  85          136275.0        7385.0        7351.9        5990.4        7348.1
  86          143519.0        7183.8        7151.9        5836.9        7149.2
  87          145457.9        7308.0        7277.0        5921.3        7273.2
  88          143556.3        7341.3        7308.0        5732.2        7305.4
  89          136099.5        7278.1        7247.1        5745.9        7244.1
  90          139170.6        7390.4        7358.2        5706.3        7355.3
  91          140191.4        7579.6        7545.1        5751.6        7541.3
  92          145407.0        7191.7        7160.1        5985.1        7156.1
  93          142226.7        7304.2        7270.5        5551.3        7268.5
  94          141464.9        7298.1        7266.7        5623.5        7264.7
  95          147913.3        7209.5        7181.4        5766.6        7178.9
  96          139421.3        7459.7        7425.8        5763.1        7423.4
  97          140483.7        7407.3        7374.9        5904.1        7370.7
  98          141905.6        7372.0        7341.5        5677.9        7337.7
  99          139562.7        7352.6        7319.2        5845.2        7317.0
  Avg Host: 135708.8 us  |  Avg Device: 7297.6 us [100/100]  |  Avg Effective: 7264.0 us  |  Avg Orch: 5761.0 us  |  Avg Sched: 7259.0 us  (100 rounds)
