  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           171628.8        2094.3        1902.5        1192.2        1669.9
  1           134018.8        1731.5        1698.3        1357.5        1697.3
  2           140416.6        1690.3        1662.1        1376.2        1660.3
  3           145062.1        1692.8        1663.6        1399.2        1660.9
  4           130527.3        1674.4        1647.2        1362.9        1644.4
  5           130099.2        1785.6        1753.7        1349.3        1751.7
  6           126322.4        1706.8        1674.9        1378.5        1672.9
  7           131706.5        1750.0        1719.3        1396.4        1717.2
  8           138160.9        1826.8        1797.1        1376.7        1795.4
  9           127538.7        1668.5        1638.5        1389.5        1637.1
  10          127042.5        1672.9        1641.8        1359.2        1640.0
  11          124172.4        1716.3        1685.9        1364.2        1683.6
  12          128667.1        1804.9        1772.2        1365.5        1770.0
  13          126286.3        1673.5        1643.9        1370.7        1640.9
  14          141035.2        1683.6        1657.1        1368.1        1655.6
  15          142197.8        1699.5        1670.1        1396.5        1668.6
  16          128710.9        1683.8        1657.0        1391.3        1655.2
  17          135678.8        1797.9        1768.5        1380.5        1766.1
  18          127766.2        1781.1        1751.7        1389.6        1747.1
  19          128145.7        1658.0        1626.5        1369.9        1624.8
  20          128136.0        1764.6        1734.1        1381.7        1730.2
  21          127969.2        1730.6        1701.1        1443.0        1698.1
  22          129326.9        1662.5        1635.1        1383.2        1632.7
  23          128568.1        1656.1        1625.4        1364.7        1623.5
  24          121816.9        1661.3        1627.8        1368.4        1626.4
  25          127454.8        1627.7        1597.5        1366.1        1595.8
  26          125346.4        1715.5        1688.7        1336.7        1686.4
  27          128891.4        1769.4        1742.3        1373.8        1738.3
  28          123929.5        1755.2        1723.7        1424.0        1719.6
  29          124875.6        1721.3        1694.2        1356.0        1691.5
  30          125411.3        1813.5        1784.8        1369.5        1781.2
  31          125123.7        1790.9        1761.8        1382.3        1759.6
  32          127373.8        1759.6        1725.0        1417.7        1723.1
  33          131107.9        1785.2        1754.6        1324.1        1752.6
  34          126022.8        1708.1        1676.5        1363.7        1673.9
  35          126670.8        1619.5        1594.3        1350.2        1590.1
  36          137489.6        1683.8        1658.3        1352.6        1654.1
  37          136924.5        1760.6        1733.4        1370.3        1730.8
  38          130792.1        1707.9        1677.5        1348.7        1674.4
  39          126724.3        1762.8        1733.8        1353.2        1731.8
  40          126652.9        1685.0        1654.1        1372.1        1651.4
  41          125061.1        1935.4        1904.9        1369.9        1903.4
  42          128248.3        1647.5        1618.9        1331.0        1617.5
  43          124901.3        1808.8        1778.9        1361.6        1777.0
  44          127368.6        1631.3        1600.5        1395.6        1598.7
  45          126164.2        1679.0        1652.6        1357.4        1649.3
  46          126233.3        1694.0        1663.7        1371.7        1660.7
  47          125093.7        1672.8        1645.6        1374.8        1643.7
  48          126967.9        1681.8        1651.7        1365.6        1648.9
  49          125725.2        1813.9        1783.1        1360.0        1780.1
  50          129415.1        1844.7        1816.5        1329.1        1814.1
  51          125220.1        1726.3        1695.5        1350.6        1692.5
  52          128033.3        1833.3        1804.0        1363.2        1800.3
  53          132015.9        1863.1        1833.0        1340.4        1829.7
  54          126643.7        1732.1        1703.9        1387.5        1699.2
  55          135286.6        1732.2        1704.3        1331.0        1701.1
  56          128253.9        1777.2        1748.0        1352.1        1744.4
  57          131243.8        1660.1        1634.2        1378.4        1629.8
  58          137439.0        1659.7        1633.8        1373.8        1628.6
  59          134078.2        1626.2        1599.1        1368.7        1596.3
  60          134249.9        1736.4        1709.8        1398.9        1705.5
  61          130557.1        1865.0        1840.7        1341.6        1836.8
  62          132069.6        1708.9        1680.9        1387.6        1677.6
  63          130145.9        1796.7        1768.2        1355.9        1765.4
  64          129139.9        1774.3        1745.7        1356.4        1742.8
  65          130647.1        1646.5        1619.7        1357.3        1618.0
  66          130118.3        1717.4        1688.5        1377.0        1684.0
  67          130717.3        1685.7        1655.9        1399.0        1652.9
  68          133965.5        1692.6        1665.3        1345.6        1663.0
  69          130425.4        1749.2        1722.7        1357.1        1719.4
  70          129349.1        1831.9        1804.5        1341.6        1799.7
  71          127554.7        1779.9        1743.2        1368.6        1739.7
  72          131558.5        1769.6        1741.3        1361.8        1737.6
  73          145990.8        1751.5        1723.4        1371.3        1718.8
  74          130663.3        1708.5        1683.6        1415.8        1679.2
  75          131901.5        1751.3        1724.9        1353.3        1721.2
  76          133258.2        1841.4        1812.0        1337.5        1808.5
  77          148917.9        1716.5        1688.9        1380.3        1685.6
  78          135956.5        1623.3        1598.9        1403.0        1593.7
  79          136722.4        1642.6        1610.1        1372.3        1608.5
  80          139921.6        1709.2        1682.4        1381.4        1679.3
  81          133230.7        1704.0        1674.2        1365.3        1670.9
  82          140344.5        1724.4        1696.3        1368.5        1693.9
  83          144403.8        1769.4        1741.3        1362.8        1737.1
  84          136934.6        1692.1        1663.3        1370.4        1659.9
  85          131727.2        1681.1        1654.3        1347.5        1650.0
  86          130174.3        1705.6        1678.9        1375.5        1675.2
  87          140724.1        1706.7        1678.4        1364.2        1675.2
  88          131540.2        1777.1        1750.7        1357.0        1748.1
  89          133628.0        1696.3        1671.0        1382.9        1667.7
  90          133549.6        1656.5        1630.6        1396.9        1627.8
  91          141942.5        1714.8        1684.4        1328.0        1681.9
  92          131733.4        1743.1        1716.8        1343.8        1713.7
  93          134921.5        1741.5        1713.3        1343.9        1709.9
  94          134458.9        1845.1        1815.6        1371.7        1813.4
  95          136974.2        1791.3        1764.2        1353.0        1761.6
  96          132776.8        1673.3        1647.7        1372.4        1644.9
  97          140259.2        1662.8        1633.2        1384.7        1629.3
  98          141305.2        1648.1        1616.7        1376.3        1613.8
  99          132983.3        1739.3        1707.6        1325.3        1704.4
  Avg Host: 132026.3 us  |  Avg Device: 1731.2 us [100/100]  |  Avg Effective: 1700.8 us  |  Avg Orch: 1366.5 us  |  Avg Sched: 1695.6 us  (100 rounds)
  Trimmed Avg Host: 131173.5 us  |  Trimmed Avg Device: 1724.7 us  (dropped 10 low + 10 high, 80 rounds used)
