  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0            96257.0        1381.7        1219.7         451.8         990.3
  1            41684.4        1064.5        1033.8         574.1        1033.0
  2            38618.6        1109.7        1075.5         579.0        1069.9
  3            37332.6        1034.3        1008.1         591.5        1004.3
  4            34055.3        1088.1        1063.6         595.7        1060.6
  5            35966.2        1001.4         977.3         595.5         975.0
  6            35132.3        1028.2        1000.4         672.6         998.9
  7            35821.8        1131.4        1102.2         600.7        1099.1
  8            35905.8        1142.5        1119.2         585.3        1116.0
  9            35660.9        1128.3        1101.2         597.5        1098.3
  10           36300.2        1045.7        1018.2         581.0        1014.8
  11           34879.3        1106.8        1080.0         579.5        1075.9
  12           33741.6         975.5         945.2         587.2         943.4
  13           34517.4        1137.0        1110.4         609.5        1109.1
  14           35792.2        1046.0        1014.6         590.3        1011.0
  15           35309.5        1114.7        1086.3         585.7        1083.6
  16           35208.2        1018.2         991.9         585.2         990.0
  17           34920.1         950.3         922.6         584.1         920.2
  18           34286.6        1029.5        1006.8         583.8        1002.7
  19           34227.4        1000.9         971.5         580.2         969.2
  20           34292.3        1154.3        1123.2         598.9        1120.7
  21           34701.3        1120.7        1095.0         588.0        1091.4
  22           34458.0        1191.0        1161.7         573.5        1159.2
  23           34904.1        1044.6        1019.3         559.7        1016.2
  24           35364.9        1040.9        1011.7         575.8        1009.4
  25           34899.7        1080.9        1050.5         593.2        1047.3
  26           34039.3        1020.4         988.2         587.7         984.3
  27           33976.9         977.9         954.0         578.3         950.2
  28           34739.2        1140.7        1115.4         597.0        1112.3
  29           34566.7        1126.8        1096.5         587.6        1093.3
  30           34626.8        1091.9        1062.8         583.2        1061.9
  31           34765.4        1018.6         989.1         590.8         986.8
  32           34729.6        1115.5        1084.8         597.4        1082.5
  33           34242.4        1045.2        1019.4         594.0        1016.7
  34           34172.1        1130.0        1102.0         570.2        1098.7
  35           35080.0        1087.7        1059.0         587.6        1055.7
  36           34092.9        1022.3         994.3         574.1         992.9
  37           34470.3        1008.6         978.2         604.0         973.5
  38           35292.5        1158.0        1128.4         583.6        1125.5
  39           34252.7        1091.2        1059.5         591.6        1057.5
  40           34392.6        1066.0        1035.9         580.9        1033.5
  41           34214.5        1137.5        1107.4         579.0        1103.7
  42           35360.7        1030.4        1000.0         582.9         997.4
  43           34178.4        1040.4        1009.5         587.4        1006.1
  44           34779.1        1087.4        1063.9         584.0        1061.2
  45           34730.9        1063.3        1037.9         589.8        1033.3
  46           34115.1         977.0         952.9         586.5         950.0
  47           34842.1        1045.1        1019.6         568.6        1017.1
  48           34063.9        1024.2         994.8         593.8         992.3
  49           34751.6        1004.1         979.6         570.1         977.0
  50           35423.9        1019.1         994.0         588.1         991.1
  51           34507.9        1081.9        1055.8         587.8        1052.4
  52           34596.5        1049.5        1017.6         589.2        1015.6
  53           34674.8        1035.1        1005.7         583.9        1001.3
  54           34238.7        1118.8        1090.9         584.3        1088.2
  55           34162.4        1036.9        1010.5         590.6        1008.1
  56           33787.0        1126.1        1096.4         585.3        1091.5
  57           34800.0        1076.9        1051.9         583.3        1047.1
  58           34207.4        1080.6        1051.9         592.8        1048.3
  59           34488.9        1017.7         989.2         591.3         985.8
  60           35787.9        1072.2        1040.5         584.2        1038.6
  61           33871.8         974.3         946.8         572.1         944.1
  62           34074.3        1011.4         986.9         578.5         984.3
  63           34027.2        1073.3        1047.5         593.7        1044.2
  64           34972.6        1026.3        1000.2         573.3         995.6
  65           34195.1        1091.9        1060.3         586.5        1057.7
  66           34701.7        1017.5         991.2         581.7         986.9
  67           34793.1        1014.6         985.4         604.6         982.7
  68           34182.2        1079.2        1050.5         597.9        1046.3
  69           32790.1         970.5         944.6         598.7         941.4
  70           33920.2        1008.7         983.9         584.7         981.3
  71           34798.3        1024.5         994.3         586.1         991.1
  72           34306.2        1111.7        1083.5         594.8        1081.5
  73           34590.3        1094.2        1066.9         583.4        1062.5
  74           34831.7         990.1         966.8         588.7         963.6
  75           48076.2        1091.8        1066.7         590.0        1062.5
  76           42386.6        1016.7         992.0         588.7         989.5
  77           38202.4        1043.7        1012.1         607.7        1007.5
  78           36228.0        1111.7        1082.5         603.2        1080.2
  79           34169.5        1112.5        1082.3         593.5        1078.7
