  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           162751.6        1328.4        1164.2        1157.0         924.2
  1           120597.7        1380.7        1342.8        1338.3        1342.2
  2           108225.4        1390.0        1356.4        1351.3        1355.0
  3           106783.0        1332.3        1299.6        1295.4        1298.3
  4           117760.9        1367.4        1336.2        1330.1        1335.0
  5           115880.0        1359.0        1324.6        1322.0        1324.1
  6           115425.3        1299.7        1264.8        1262.0        1264.4
  7           117217.2        1320.6        1286.2        1282.3        1285.7
  8           110442.5        1327.4        1294.3        1289.3        1293.8
  9           113218.3        1328.5        1294.9        1291.2        1294.5
  10          112520.7        1320.1        1286.1        1280.8        1285.6
  11          115776.8        1349.7        1315.4        1311.3        1314.7
  12          116746.6        1335.9        1302.4        1298.0        1301.8
  13          110007.9        1349.1        1299.8        1294.8        1299.1
  14          113785.7        1356.4        1325.3        1323.0        1323.5
  15          113345.3        1330.0        1296.2        1294.1        1295.5
  16          119011.9        1368.7        1335.1        1332.0        1334.4
  17          134291.5        1332.2        1298.9        1297.4        1298.5
  18          116793.5        1301.3        1268.8        1263.3        1267.7
  19          111642.1        1322.3        1288.5        1285.4        1287.9
  20          107927.1        1367.6        1334.3        1330.4        1333.5
  21          107856.9        1369.5        1336.5        1332.3        1335.5
  22          105303.6        1368.2        1331.9        1326.9        1331.4
  23          128427.8        1346.6        1313.5        1309.6        1312.6
  24          136701.9        1345.7        1313.5        1310.3        1312.5
  25          120294.6        1354.0        1322.1        1318.1        1320.7
  26          115923.7        1324.0        1291.2        1287.4        1290.5
  27          115382.2        1372.9        1338.2        1334.6        1337.5
  28          112389.2        1329.5        1296.9        1293.2        1296.1
  29          113631.9        1327.0        1291.3        1285.8        1290.2
  30          115042.5        1341.8        1311.4        1307.0        1310.3
  31          117243.2        1358.9        1326.9        1323.1        1326.7
  32          140499.6        1318.4        1286.7        1282.9        1286.3
  33          115235.6        1361.9        1331.6        1327.1        1328.8
  34          111015.2        1322.1        1290.9        1285.8        1289.8
  35          107652.0        1240.9        1209.3        1205.9        1208.3
  36          108527.9        1341.6        1309.2        1303.3        1308.1
  37          106984.6        1344.8        1298.8        1295.8        1298.4
  38          103892.3        1360.8        1327.2        1324.9        1326.1
  39          106762.8        1338.5        1305.7        1301.7        1305.3
  40          111717.5        1316.2        1283.4        1277.2        1282.0
  41          148264.1        1362.0        1328.9        1326.0        1328.6
  42          125549.8        1326.9        1295.1        1290.7        1293.5
  43          124297.2        1328.3        1296.1        1291.6        1295.4
  44          122259.1        1331.6        1298.8        1295.6        1298.1
  45          121408.6        1339.5        1306.8        1304.1        1305.3
  46          121627.0        1346.1        1312.0        1307.8        1311.0
  47          119067.9        1260.8        1228.1        1224.0        1227.0
  48          128008.2        1348.3        1311.5        1307.1        1310.8
  49          116676.6        1334.8        1302.4        1299.1        1301.1
  50          116976.4        1337.3        1304.9        1300.6        1304.3
  51          114317.3        1351.5        1318.4        1313.8        1317.2
  52          116112.2        1371.7        1335.9        1332.6        1335.4
  53          122597.5        1326.2        1292.9        1289.4        1292.5
  54          119582.0        1316.0        1283.0        1279.8        1282.6
  55          113799.9        1333.1        1301.8        1295.4        1300.4
  56          129811.5        1346.6        1315.0        1311.2        1314.1
  57          141405.4        1339.9        1307.5        1303.2        1306.4
  58          124179.2        1306.5        1274.4        1270.4        1273.0
  59          116720.3        1360.0        1329.6        1325.5        1327.8
  60          111561.0        1331.9        1300.7        1295.6        1299.7
  61          116752.1        1283.6        1249.8        1247.0        1249.1
  62          119165.1        1355.8        1323.9        1320.9        1322.8
  63          119880.8        1358.4        1323.9        1319.2        1322.5
  64          119384.7        1329.8        1297.6        1295.2        1296.9
  65          113615.5        1334.7        1302.1        1297.0        1301.6
  66          113708.0        1357.9        1322.4        1319.0        1321.9
  67          122528.0        1303.4        1271.1        1266.1        1270.7
  68          126898.5        1327.5        1294.7        1289.8        1293.3
  69          107666.5        1337.0        1304.0        1299.8        1303.1
  70          108918.0        1335.7        1303.3        1299.4        1301.7
  71          112045.9        1373.0        1339.3        1334.5        1338.0
  72          106742.4        1358.9        1327.2        1323.9        1326.0
  73          103945.0        1331.2        1298.1        1294.8        1297.6
  74          105061.4        1366.9        1335.7        1329.4        1334.6
  75          101583.9        1376.1        1343.6        1339.0        1342.5
  76          100683.4        1367.6        1335.7        1332.6        1334.7
  77          104555.6        1338.1        1304.6        1299.8        1304.0
  78          105735.8        1348.1        1315.0        1310.8        1314.0
  79          107401.5        1311.1        1282.7        1278.1        1282.1
  80          102239.1        1341.2        1308.4        1302.3        1307.4
  81          105150.9        1319.3        1288.2        1285.6        1286.9
  82          104571.8        1315.7        1283.0        1278.8        1282.6
  83          102287.4        1319.9        1288.0        1285.3        1286.1
  84          100682.2        1325.9        1293.1        1288.0        1292.5
  85          104689.8        1305.5        1270.1        1268.2        1269.4
  86          106782.6        1302.8        1269.0        1266.0        1268.1
  87          108686.8        1345.0        1312.6        1310.9        1312.1
  88          106605.3        1294.7        1262.0        1258.0        1261.5
  89          103934.9        1351.0        1317.1        1312.4        1316.2
  90          106420.6        1349.9        1318.2        1313.0        1317.5
  91          101896.3        1365.6        1330.9        1324.5        1330.2
  92          104932.0        1394.1        1361.7        1356.1        1361.1
  93          107505.2        1324.6        1290.2        1285.5        1289.7
  94          104957.7        1332.1        1300.4        1295.5        1298.8
  95          104554.1        1327.8        1293.8        1288.6        1292.8
  96          106730.0        1338.0        1305.3        1302.6        1304.6
  97          106206.3        1349.5        1317.3        1314.1        1316.5
  98          102181.6        1323.0        1290.4        1285.8        1289.8
  99          103402.3        1344.1        1312.9        1306.8        1311.3
  Avg Host: 114255.5 us  |  Avg Device: 1338.1 us [100/100]  |  Avg Effective: 1303.6 us  |  Avg Orch: 1299.5 us  |  Avg Sched: 1300.3 us  (100 rounds)
  Trimmed Avg Host: 112821.3 us  |  Trimmed Avg Device: 1339.4 us  (dropped 10 low + 10 high, 80 rounds used)
