  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           188009.4        5205.2        5032.6        3907.7        4850.4
  1           139979.5        5435.4        5394.2        4111.8        5393.4
  2           138385.0        5416.4        5381.0        4097.2        5380.5
  3           138560.2        5450.5        5412.9        4062.2        5412.4
  4           137810.9        5275.6        5238.1        4036.5        5237.3
  5           133711.6        5365.5        5331.8        4106.5        5331.1
  6           133217.4        5647.8        5610.3        4117.9        5609.9
  7           122917.0        5435.5        5398.0        4096.3        5397.6
  8           118882.2        5616.7        5581.6        4038.0        5581.1
  9           137615.5        5438.5        5400.8        4073.8        5400.2
  10          122555.2        5589.6        5553.6        4065.2        5553.1
  11          120298.0        5520.6        5485.0        4112.2        5484.4
  12          140004.0        5874.6        5836.1        4157.2        5835.4
  13          120605.3        5470.7        5434.7        4056.6        5434.2
  14          119386.6        5488.0        5449.8        4065.7        5449.1
  15          137971.2        5454.3        5419.1        4135.6        5417.9
  16          121206.2        5428.1        5389.6        4044.4        5389.0
  17          119493.7        5405.7        5369.7        4035.2        5369.3
  18          120431.9        5290.4        5255.4        3989.9        5254.9
  19          119273.3        5422.1        5385.5        4056.8        5384.7
  20          118390.4        5329.8        5294.0        4104.5        5293.5
  21          118759.8        5609.5        5573.0        4083.3        5572.1
  22          117298.0        5492.7        5456.1        4092.0        5455.7
  23          115759.8        5466.4        5429.6        4020.6        5428.8
  24          123557.2        5273.9        5237.1        4030.9        5236.6
  25          133273.8        5501.4        5463.8        4121.1        5463.2
  26          123392.5        5504.2        5469.3        4118.4        5468.5
  27          120041.3        5428.5        5392.1        4153.4        5391.3
  28          119429.0        5560.2        5523.2        4148.4        5522.4
  29          118581.3        5560.7        5523.6        4134.3        5522.8
  30          134447.8        5406.7        5370.1        4088.1        5369.4
  31          124143.2        5356.5        5320.1        4101.4        5319.2
  32          120478.8        5381.2        5345.8        4115.6        5345.0
  33          118168.2        5582.6        5544.1        4043.0        5543.6
  34          119130.5        5476.1        5438.2        4083.5        5437.7
  35          120899.0        5384.7        5347.9        4041.2        5347.1
  36          119195.4        5427.8        5391.0        4072.1        5390.2
  37          117464.7        5402.9        5367.3        4126.1        5366.6
  38          118261.1        5578.8        5540.9        4112.6        5540.3
  39          132943.1        5395.1        5357.2        4138.8        5356.5
  40          127100.0        5425.0        5386.3        4088.9        5385.5
  41          131639.6        5459.4        5422.5        4095.5        5422.0
  42          122206.9        5536.6        5498.6        4053.5        5497.9
  43          120213.9        5516.3        5478.9        4116.3        5478.3
