  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0            88049.4        1010.1         845.4         579.0         652.2
  1            45179.9         945.3         910.7         648.7         910.0
  2            39786.5         891.3         854.2         625.8         853.4
  3            37123.7         904.0         869.8         599.5         868.8
  4            46492.9         875.9         846.6         621.7         845.6
  5            34766.1         852.6         820.9         609.1         820.2
  6            33086.3         854.7         822.1         608.5         821.5
  7            37763.4         865.8         831.9         614.7         831.2
  8            34807.4         873.0         840.8         625.3         840.0
  9            35596.2         898.5         866.6         642.5         865.8
  10           36230.5         905.4         871.0         634.9         870.5
  11           35453.7         911.4         877.5         623.8         876.8
  12           33751.8         877.7         844.3         605.8         843.1
  13           69297.9         845.0         813.3         603.0         812.5
  14           47491.4         918.2         881.5         634.1         880.5
  15           33862.2         853.7         822.5         604.8         821.8
  16           33384.9         886.1         855.3         622.8         854.5
  17           34709.1         869.8         838.7         598.7         838.1
  18           34373.5         915.3         883.4         625.1         882.7
  19           36882.4         860.0         825.2         623.8         824.5
  20           37682.4         873.4         840.6         618.4         839.6
  21           36410.2         866.9         835.9         634.4         835.0
  22           37433.7         902.1         871.0         606.0         870.1
  23           33987.1         898.9         866.4         662.2         865.9
  24           34660.4         900.1         866.3         639.5         865.6
  25           36619.5         868.0         836.4         613.1         835.9
  26           35162.3         906.0         876.0         619.9         875.5
  27           45949.1         928.6         894.1         618.1         893.3
  28           42992.4         893.2         858.5         625.0         857.7
  29           38675.0         880.8         849.5         631.1         848.7
  30           37091.5         853.4         818.7         599.4         817.5
  31           38019.2         870.5         835.1         616.3         834.4
  32           36805.7         879.0         846.9         621.8         845.9
  33           34867.7         888.7         854.4         618.9         853.8
  34           35997.8         935.1         899.2         660.8         898.6
  35           37842.3         884.4         848.8         638.5         847.8
  36           41211.1         870.4         837.6         619.6         836.9
  37           41761.2         935.4         904.9         644.0         904.0
  38           40634.9         867.8         833.5         632.5         832.7
  39           41123.8         882.0         850.0         645.8         849.2
  40           36770.7         879.0         848.3         593.6         847.5
  41           51396.2         847.9         812.7         608.4         811.7
  42           44044.3         892.9         860.6         619.2         859.9
  43           36476.6         872.5         840.5         614.1         839.8
  44           37764.7         911.8         879.1         648.6         878.2
  45           38258.0         897.5         866.0         615.8         865.2
  46           36981.9         872.0         841.5         619.3         840.7
  47           38176.3         904.4         870.3         618.1         869.4
  48           37509.3         861.9         827.0         606.3         826.3
  49           38410.8         854.6         820.0         601.3         819.2
  50           36734.8         872.7         840.3         617.8         839.5
  51           35664.3         877.3         844.1         624.4         843.4
  52           37302.7         884.0         853.6         637.1         853.0
  53           36118.4         864.5         829.5         632.6         828.7
  54           37900.7         905.4         870.3         607.4         869.8
  55           37876.9         864.0         829.8         620.2         828.9
  56           38236.9         888.3         856.6         618.8         855.8
  57           35910.3         910.7         877.1         636.3         876.1
  58           35454.3         912.5         877.1         650.6         876.4
  59           36505.3         887.1         851.6         645.1         851.0
  60           36305.0         866.0         836.1         616.4         835.3
  61           37967.7         855.4         823.1         617.4         822.2
  62           39085.2         881.1         845.7         626.2         845.0
  63           38186.3         924.5         890.3         622.2         889.4
  64           36655.5         856.3         824.3         618.7         823.5
  65           36380.3         874.7         838.9         623.6         838.2
  66           36857.1         885.5         850.3         645.6         849.6
  67           35956.9         950.1         918.5         663.7         917.7
  68           36404.5         865.3         835.3         639.9         834.3
  69           35907.6         860.7         829.8         608.5         829.2
  70           36613.9         898.7         865.1         608.8         864.4
  71           37383.3         846.5         813.9         608.9         812.8
  72           34302.1         930.2         899.2         618.7         898.4
  73           34263.3         886.5         853.6         642.4         852.8
  74           33888.3         874.3         842.6         629.5         841.9
  75           35734.3         884.2         849.4         640.9         848.5
  76           38521.4         909.4         874.7         644.9         873.9
  77           37519.9         900.8         866.5         640.6         865.7
  78           37529.7         892.4         859.4         630.3         858.6
  79           35165.4         887.4         854.4         596.0         853.7
  80           35652.1         867.3         829.0         607.3         828.2
  81           33051.6         917.0         884.5         617.1         883.5
  82           36357.7         900.0         864.4         615.7         863.7
  83           37477.6         853.6         819.8         616.4         819.0
  84           37093.6         898.1         864.2         641.9         863.4
  85           37736.7         887.1         853.7         618.0         852.7
  86           35708.2         910.4         876.3         619.7         875.4
  87           37116.4         874.4         842.0         614.0         840.9
  88           33358.1         851.2         820.6         609.8         819.9
  89           37754.5         877.0         842.9         624.0         842.4
  90           37497.0         877.6         843.1         625.1         842.6
  91           37275.2         852.7         818.2         621.8         817.5
  92           36950.4         889.6         855.1         621.5         854.4
  93           35901.9         845.4         810.5         611.5         809.6
  94           37167.6         865.5         835.0         619.5         834.4
  95           33119.7         920.3         888.1         618.5         887.3
  96           36664.3         869.0         837.4         610.5         836.6
  97           36843.3         867.0         830.4         630.7         829.6
  98           36315.2         933.8         899.3         651.6         898.6
  99           37265.6         870.6         841.4         626.1         841.0
  Avg Host: 38134.4 us  |  Avg Device: 886.2 us [100/100]  |  Avg Effective: 851.7 us  |  Avg Orch: 623.2 us  |  Avg Sched: 849.0 us  (100 rounds)
  Trimmed Avg Host: 36938.0 us  |  Trimmed Avg Device: 883.8 us  (dropped 10 low + 10 high, 80 rounds used)
