  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           114324.6        1096.4         942.2         445.3         776.5
  1            42801.9         898.0         862.9         532.1         862.4
  2            35784.7         851.0         819.4         528.2         818.3
  3            35707.6         907.9         879.0         528.9         876.5
  4            31588.2         890.1         860.2         516.2         858.0
  5            31310.3         872.2         842.7         537.4         841.7
  6            31325.7         866.9         836.8         533.4         835.6
  7            29617.8         908.2         876.3         530.7         875.1
  8            31109.1         889.7         857.9         533.4         857.1
  9            30886.5         886.5         855.9         533.7         854.6
  10           30978.4         873.3         846.4         541.3         842.8
  11           45320.9         898.4         865.2         550.7         863.6
  12           36635.4         875.4         843.3         550.2         842.6
  13           33988.8         853.0         822.2         548.1         820.6
  14           32067.3         935.3         903.3         534.2         902.9
  15           30934.3         867.6         837.2         531.3         835.8
  16           31146.8         861.4         834.4         521.7         833.2
  17           31101.4         909.4         880.4         546.1         879.7
  18           31605.0         856.7         824.6         538.5         823.5
  19           30442.2         848.1         815.6         542.9         813.5
  20           30115.3         869.1         837.4         536.1         836.1
  21           31376.2         855.3         825.3         538.2         824.7
  22           32060.7         879.8         849.8         546.1         847.9
  23           32560.6         871.0         839.0         531.2         837.4
  24           32262.6         872.2         840.0         541.4         838.8
  25           30968.2         875.4         844.0         521.9         842.8
  26           30933.2         942.7         912.9         532.9         911.7
  27           30481.1         906.9         877.3         614.4         876.0
  28           30319.2         886.3         853.4         537.6         852.3
  29           31843.9         852.5         822.8         537.2         821.5
  30           31635.2         839.9         811.9         536.3         810.1
  31           32544.9         868.2         837.5         531.7         836.5
  32           30613.9         867.9         836.4         545.7         835.2
  33           40877.6         916.7         876.6         534.8         876.0
  34           30635.2         879.2         848.7         520.8         847.7
  35           30103.3         848.0         817.7         531.9         816.5
  36           31701.6         910.6         877.5         534.8         876.3
  37           30428.9         894.3         864.9         540.6         863.4
  38           30740.0         864.9         834.8         532.4         833.0
  39           31166.1         876.8         845.2         529.5         844.1
  40           42978.0         873.2         843.8         527.0         841.8
  41           38157.3         842.0         811.4         528.9         809.7
  42           34332.4         839.3         809.8         523.7         808.3
  43           31246.5         864.1         835.9         523.1         834.8
  44           29901.6         866.6         837.2         533.2         836.0
  45           30768.8         886.8         852.5         546.1         851.7
  46           29620.6         827.4         794.3         531.4         792.5
  47           38279.4         848.9         817.5         535.9         816.4
  48           44982.7         859.7         830.6         526.8         828.9
  49           39525.8         891.9         860.3         527.4         859.4
  50           35202.8         906.2         877.8         526.8         875.1
  51           34079.1         839.6         810.7         536.0         806.5
  52           33319.7         863.2         831.7         537.2         829.9
  53           33630.3         859.3         830.9         527.4         829.0
  54           45546.6         887.6         855.4         548.6         852.6
  55           36216.4         865.5         836.5         537.4         833.2
  56           34067.2         855.9         828.6         526.8         827.7
  57           31506.5         847.4         819.9         533.1         816.7
  58           46611.0         864.1         838.4         527.3         835.7
  59           38857.6         832.4         804.3         517.9         803.3
  60           43219.9         836.1         807.6         527.5         807.3
  61           35918.9         877.3         846.4         534.6         845.2
  62           32230.6         928.1         896.5         527.6         895.3
  63           31835.0         852.9         823.9         533.4         820.6
  64           30147.1         885.3         854.9         533.2         852.6
  65           30096.1         882.4         852.7         527.3         851.1
  66           31154.4         886.6         857.0         534.4         856.6
  67           30193.4         878.2         844.2         540.5         843.1
  68           31566.8         908.3         878.7         540.4         878.1
  69           40824.9         880.4         851.6         530.8         850.9
  70           39091.4         930.7         901.2         554.3         899.9
  71           30047.0         897.4         868.9         537.0         867.9
  72           30165.5         945.9         914.4         544.5         910.9
  73           31178.4         840.1         812.7         544.0         811.6
  74           31165.7         915.4         882.0         540.8         881.4
  75           41201.1         898.4         865.2         536.1         864.1
  76           38070.3         860.9         829.1         539.5         828.3
  77           33310.2         877.0         846.5         530.1         845.2
  78           29843.4         907.1         875.7         533.8         874.9
  79           31225.6         850.4         817.8         531.6         816.5
  80           30263.0         894.7         861.8         533.4         861.2
  81           29896.1         888.0         854.7         525.5         854.1
  82           40912.4         856.8         825.9         541.5         824.2
  83           30763.9         869.6         840.2         522.3         839.5
  84           30918.9         879.6         848.4         538.1         847.2
  85           30073.2         946.3         915.1         543.0         913.5
  86           30880.2         896.3         864.7         548.5         863.7
  87           30440.4         864.8         829.5         524.0         828.4
  88           30740.9         876.8         844.1         538.4         843.5
  89           30666.9         864.8         836.7         530.8         835.3
  90           31201.3         918.7         886.0         601.2         884.8
  91           30883.6         907.6         875.2         531.9         872.2
  92           29677.0         841.5         813.6         542.6         812.2
  93           30440.3         855.4         825.1         545.2         823.8
  94           30154.5         855.5         826.3         533.7         825.4
  95           30537.4         858.6         827.4         533.2         826.7
  96           31269.3         917.1         887.2         552.3         886.2
  97           31133.4         830.4         801.1         530.4         800.1
  98           30406.4         947.6         913.0         543.0         912.2
  99           29314.2         883.8         853.6         528.5         852.9
  Avg Host: 34039.3 us  |  Avg Device: 880.4 us [100/100]  |  Avg Effective: 848.4 us  |  Avg Orch: 535.3 us  |  Avg Sched: 845.4 us  (100 rounds)
  Trimmed Avg Host: 32474.3 us  |  Trimmed Avg Device: 877.0 us  (dropped 10 low + 10 high, 80 rounds used)
