case,metric,main_us,before_us,after_us,before_vs_main_pct,after_vs_main_pct,after_vs_before_pct,rounds,aggregation
alternating_matmul_add_Case1,Host,100861.0,98119.0,114255.5,-2.72,13.28,16.45,100,mean
alternating_matmul_add_Case1,Device,1495.2,1332.9,1338.1,-10.85,-10.51,0.39,100,mean
alternating_matmul_add_Case1,Effective,1462.1,1298.9,1303.6,-11.16,-10.84,0.36,100,mean
alternating_matmul_add_Case1,Orchestrator,1457.3,1294.9,1299.5,-11.14,-10.83,0.36,100,mean
alternating_matmul_add_Case1,Scheduler,1455.1,1295.7,1300.3,-10.95,-10.64,0.36,100,mean
benchmark_bgemm_Case0,Host,48216.7,50959.2,50401.2,5.69,4.53,-1.09,100,mean
benchmark_bgemm_Case0,Device,1567.6,1418.7,1386.3,-9.50,-11.57,-2.28,100,mean
benchmark_bgemm_Case0,Effective,1535.7,1385.6,1352.4,-9.77,-11.94,-2.40,100,mean
benchmark_bgemm_Case0,Orchestrator,1437.9,1302.2,1265.7,-9.44,-11.98,-2.80,100,mean
benchmark_bgemm_Case0,Scheduler,1528.2,1382.6,1349.7,-9.53,-11.68,-2.38,100,mean
paged_attention_unroll_Case1,Host,165196.7,154381.6,151664.7,-6.55,-8.19,-1.76,100,mean
paged_attention_unroll_Case1,Device,1876.0,1512.5,1543.7,-19.38,-17.71,2.06,100,mean
paged_attention_unroll_Case1,Effective,1844.9,1480.7,1509.3,-19.74,-18.19,1.93,100,mean
paged_attention_unroll_Case1,Orchestrator,1410.3,1254.7,1288.3,-11.03,-8.65,2.68,100,mean
paged_attention_unroll_Case1,Scheduler,1836.2,1477.9,1506.5,-19.51,-17.96,1.94,100,mean
paged_attention_unroll_Case2,Host,38633.5,36887.5,38134.4,-4.52,-1.29,3.38,100,mean
paged_attention_unroll_Case2,Device,1075.5,871.1,886.2,-19.01,-17.60,1.73,100,mean
paged_attention_unroll_Case2,Effective,1044.4,839.6,851.7,-19.61,-18.45,1.44,100,mean
paged_attention_unroll_Case2,Orchestrator,715.1,605.9,623.2,-15.27,-12.85,2.86,100,mean
paged_attention_unroll_Case2,Scheduler,1037.1,836.8,849.0,-19.31,-18.14,1.46,100,mean
paged_attention_unroll_manual_scope_Case1,Host,162932.6,157458.3,123668.6,-3.36,-24.10,-21.46,100,mean
paged_attention_unroll_manual_scope_Case1,Device,1898.5,1495.5,1515.3,-21.23,-20.18,1.32,100,mean
paged_attention_unroll_manual_scope_Case1,Effective,1867.7,1463.7,1482.6,-21.63,-20.62,1.29,100,mean
paged_attention_unroll_manual_scope_Case1,Orchestrator,1279.5,1154.6,1171.1,-9.76,-8.47,1.43,100,mean
paged_attention_unroll_manual_scope_Case1,Scheduler,1860.0,1460.8,1479.7,-21.46,-20.45,1.29,100,mean
paged_attention_unroll_manual_scope_Case2,Host,38798.5,38042.8,34039.3,-1.95,-12.27,-10.52,100,mean
paged_attention_unroll_manual_scope_Case2,Device,1066.6,869.7,880.4,-18.46,-17.46,1.23,100,mean
paged_attention_unroll_manual_scope_Case2,Effective,1037.0,837.2,848.4,-19.27,-18.19,1.34,100,mean
paged_attention_unroll_manual_scope_Case2,Orchestrator,604.6,527.3,535.3,-12.79,-11.46,1.52,100,mean
paged_attention_unroll_manual_scope_Case2,Scheduler,1028.6,834.6,845.4,-18.86,-17.81,1.29,100,mean
batch_paged_attention_Case1,Host,168397.1,156578.4,127494.4,-7.02,-24.29,-18.57,100,mean
batch_paged_attention_Case1,Device,6974.1,5326.3,5484.5,-23.63,-21.36,2.97,100,mean
batch_paged_attention_Case1,Effective,6940.8,5289.3,5446.4,-23.79,-21.53,2.97,100,mean
batch_paged_attention_Case1,Orchestrator,5921.2,3950.4,4084.8,-33.28,-31.01,3.40,100,mean
batch_paged_attention_Case1,Scheduler,6933.7,5286.7,5444.0,-23.75,-21.48,2.98,100,mean
qwen3_14b_decode_StressBatch16Seq3500,Host,5097471.1,5667545.4,6954739.0,11.18,36.44,22.71,5,middle_3_of_5_by_device
qwen3_14b_decode_StressBatch16Seq3500,Device,36113.7,35322.9,34865.2,-2.19,-3.46,-1.30,5,middle_3_of_5_by_device
qwen3_14b_decode_StressBatch16Seq3500,Effective,36077.8,35286.1,34827.4,-2.19,-3.47,-1.30,5,middle_3_of_5_by_device
qwen3_14b_decode_StressBatch16Seq3500,Orchestrator,10269.8,10510.8,10657.8,2.35,3.78,1.40,5,middle_3_of_5_by_device
qwen3_14b_decode_StressBatch16Seq3500,Scheduler,36074.6,35285.4,34826.5,-2.19,-3.46,-1.30,5,middle_3_of_5_by_device
